pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta,categoria
¿Cuál es la capital de Argentina?,Buenos Aires,Córdoba,Rosario,Mendoza,1,geografia
¿Qué grupo es originario de Salta?,Los Nocheros,Soda Stereo,Virus,Los Pericos,1,musica
¿Qué equipo argentino juega en La Bombonera?,River,San Lorenzo,Independiente,Boca,4,deporte
¿Qué día se celebra el Día de la Independencia en Argentina?,25 de mayo,9 de julio,20 de junio,10 de diciembre,2,cultura
¿Qué club tiene el apodo 'La Academia'?,San Lorenzo,Independiente,Racing,Vélez,3,deporte
¿Qué deporte se juega en la Copa Argentina?,Tenis,Fútbol,Rugby,Hockey,2,deporte
¿Qué banda popularizó 'Ji ji ji'?,Divididos,Soda Stereo,Patricio Rey y sus Redonditos de Ricota,La Mississippi,3,musica
¿Cuál de estas es una provincia del norte argentino?,Santa Cruz,Tucumán,La Pampa,Chubut,2,geografia
¿Cuál es una fiesta tradicional de la provincia de Jujuy?,Fiesta de la Vendimia,Carnaval,Fiesta del Sol,Fiesta del Lago,2,cultura
¿Qué color no está en la bandera argentina?,Celeste,Blanco,Amarillo,Rojo,4,cultura
¿Qué es la Superliga Argentina?,Una copa internacional,Un torneo de selecciones,La liga de fútbol profesional,Una competencia de rugby,3,deporte
¿Qué ciudad argentina es famosa por su vino?,Salta,Buenos Aires,Mendoza,Córdoba,3,cultura
¿Cuál es el lago más grande de Argentina?,Lago Nahuel Huapi,Lago Argentino,Lago Fagnano,Lago Viedma,2,geografia
¿Qué banda lideró Gustavo Cerati?,Los Redondos,Soda Stereo,Divididos,Los Enanitos Verdes,2,musica
¿Qué banda toca cumbia villera?,Damas Gratis,Soda Stereo,Attaque 77,Los Auténticos Decadentes,1,musica
¿Qué instrumento se asocia con el chamamé?,Charango,Bandoneón,Acordeón,Violín,3,musica
¿Qué prócer aparece en el billete de 10 pesos?,San Martín,Belgrano,Sarmiento,Moreno,2,cultura
¿Cuál es el símbolo nacional argentino?,La bandera,La escarapela,El escudo,Todas las anteriores,4,cultura
¿Qué tradición argentina se celebra los domingos con amigos o familia?,Pedir delivery,Hacer asado,Ir a misa,Tango,2,cultura
¿Qué país ganó más veces la Copa Davis?,Argentina,España,EEUU,Francia,3,deporte
¿Qué equipo es conocido como 'El Millonario'?,Boca,River,Racing,Huracán,2,deporte
¿Qué artista fue líder de Los Abuelos de la Nada?,Andrés Calamaro,Miguel Abuelo,Fito Páez,Vicentico,2,musica
¿Qué cantante es conocido por 'El amor después del amor'?,Charly,Fito Páez,Cerati,Calamaro,2,musica
¿Qué provincia argentina tiene costa sobre el Océano Atlántico?,Mendoza,Chaco,Buenos Aires,La Rioja,3,geografia
¿Qué selección ganó el Mundial 1978?,Brasil,Alemania,Argentina,Italia,3,deporte
¿Qué cantante es símbolo del folklore argentino?,Luis Miguel,Mercedes Sosa,Gustavo Cerati,Fabiana Cantilo,2,musica
¿Cuál es la capital de la provincia de Mendoza?,San Rafael,Godoy Cruz,Mendoza,Luján de Cuyo,3,geografia
¿Qué río separa a Argentina de Uruguay?,Río Paraná,Río Uruguay,Río de la Plata,Río Salado,2,geografia
¿Qué plato incluye carne y chimichurri?,Empanadas,Milanesa,Asado,Locro,3,cultura
¿Qué cantante popularizó el tema 'La colina de la vida'?,Fito Páez,Spinetta,Charly García,León Gieco,4,musica
¿Qué provincia argentina limita con Bolivia?,Salta,Misiones,San Juan,Tucumán,1,geografia
¿En qué ciudad nació Lionel Messi?,Rosario,Buenos Aires,Córdoba,Mar del Plata,1,deporte
¿Qué banda tiene el disco 'Oktubre'?,Soda Stereo,Los Redondos,Bersuit,La Renga,2,musica
¿Qué instrumento se asocia con el folclore argentino?,Bandoneón,Charango,Bombo legüero,Piano,3,cultura
¿En qué región se encuentra la Patagonia?,Norte,Centro,Sur,Este,3,geografia
¿Qué escritor escribió 'Sobre héroes y tumbas'?,Cortázar,Sabato,Borges,Piglia,2,cultura
¿Qué país no limita con Argentina?,Chile,Brasil,Uruguay,Colombia,4,geografia
¿Qué jugador argentino ganó seis Balones de Oro?,Messi,Maradona,Di María,Agüero,1,deporte
¿En qué provincia se encuentra el Aconcagua?,San Juan,Mendoza,La Rioja,Neuquén,2,geografia
cual es la provincia argentina mas poblada?,buenos aires,cordoba,santa fe,misiones,1,otros
En que provincia se encuentra el cerro de los siete colores?,Neuquen,Santa cruz,Jujuy,La Rioja,3,otros
